date;y
25/03/2016;72800
26/03/2016;74070
27/03/2016;72790
28/03/2016;71090
29/03/2016;70250
30/03/2016;69630
31/03/2016;69660
01/04/2016;67010
02/04/2016;70370
03/04/2016;71220
04/04/2016;76080
05/04/2016;77170
06/04/2016;78190
07/04/2016;79010
08/04/2016;80060
09/04/2016;80630
10/04/2016;77760
11/04/2016;83860
12/04/2016;85880
13/04/2016;91640
14/04/2016;91510
15/04/2016;87500
16/04/2016;86330
17/04/2016;86030
18/04/2016;83900
19/04/2016;82630
20/04/2016;78800
21/04/2016;80890
22/04/2016;87600
23/04/2016;88810
24/04/2016;89530
25/04/2016;85860
26/04/2016;83570
27/04/2016;81990
28/04/2016;83670
29/04/2016;84500
30/04/2016;83630
01/05/2016;84470
02/05/2016;81220
03/05/2016;79370
04/05/2016;83950
05/05/2016;82890
06/05/2016;75630
07/05/2016;77860
08/05/2016;79580
09/05/2016;80050
10/05/2016;83880
11/05/2016;79850
12/05/2016;79430
13/05/2016;83970
14/05/2016;80270
15/05/2016;88290
16/05/2016;91590
17/05/2016;93730
18/05/2016;92510
19/05/2016;90160
20/05/2016;85300
21/05/2016;76480
22/05/2016;72430
23/05/2016;66400
24/05/2016;58810
25/05/2016;59100
26/05/2016;57420
27/05/2016;56000
28/05/2016;56770
29/05/2016;47530
30/05/2016;43320
31/05/2016;41740
01/06/2016;36560
02/06/2016;35050
03/06/2016;41250
04/06/2016;49920
05/06/2016;50140
06/06/2016;60770
07/06/2016;66260
08/06/2016;67780
09/06/2016;70860
10/06/2016;73110
11/06/2016;75160
12/06/2016;76100
13/06/2016;79890
14/06/2016;86890
15/06/2016;91710
16/06/2016;96080
17/06/2016;98440
18/06/2016;103590
19/06/2016;110660
20/06/2016;113070
21/06/2016;114300
22/06/2016;111080
23/06/2016;108300
24/06/2016;105580
25/06/2016;105160
26/06/2016;105230
27/06/2016;104820
28/06/2016;97280
29/06/2016;94670
30/06/2016;90980
01/07/2016;84230
02/07/2016;72450
03/07/2016;65160
04/07/2016;58170
05/07/2016;57910
06/07/2016;64140
07/07/2016;67940
08/07/2016;69360
09/07/2016;69150
10/07/2016;66830
11/07/2016;60830
12/07/2016;66210
13/07/2016;64340
14/07/2016;68730
15/07/2016;66120
16/07/2016;67240
17/07/2016;69710
18/07/2016;69240
19/07/2016;72890
20/07/2016;72330
21/07/2016;69720
22/07/2016;71800
23/07/2016;72200
24/07/2016;75130
25/07/2016;81570
26/07/2016;76090
27/07/2016;79430
28/07/2016;81180
29/07/2016;83710
30/07/2016;89990
31/07/2016;92350
01/08/2016;93400
02/08/2016;87660
03/08/2016;83800
04/08/2016;85740
05/08/2016;80490
06/08/2016;81080
07/08/2016;82070
08/08/2016;87030
09/08/2016;93860
10/08/2016;95280
11/08/2016;90670
12/08/2016;92140
13/08/2016;87620
14/08/2016;85720
15/08/2016;83990
16/08/2016;84510
17/08/2016;89820
18/08/2016;91320
19/08/2016;95950
20/08/2016;93810
21/08/2016;92650
22/08/2016;91000
23/08/2016;86230
24/08/2016;84830
25/08/2016;83430
26/08/2016;87110
27/08/2016;96880
28/08/2016;96300
29/08/2016;91400
30/08/2016;85370
31/08/2016;79890
01/09/2016;77240
02/09/2016;71440
03/09/2016;67430
04/09/2016;64670
05/09/2016;60840
06/09/2016;65420
07/09/2016;65910
08/09/2016;67500
09/09/2016;62330
10/09/2016;54780
11/09/2016;54760
12/09/2016;62620
13/09/2016;68260
14/09/2016;70970
15/09/2016;69030
16/09/2016;77210
17/09/2016;87400
18/09/2016;92840
19/09/2016;95750
20/09/2016;94900
21/09/2016;100050
22/09/2016;101250
23/09/2016;102200
24/09/2016;98660
25/09/2016;98180
26/09/2016;96470
27/09/2016;96070
28/09/2016;92040
29/09/2016;91500
30/09/2016;81980
01/10/2016;76470
02/10/2016;73700
03/10/2016;70590
04/10/2016;67670
05/10/2016;63150
06/10/2016;66210
07/10/2016;67630
08/10/2016;64530
09/10/2016;62680
10/10/2016;63320
11/10/2016;70380
12/10/2016;74290
13/10/2016;77450
14/10/2016;82260
15/10/2016;83290
16/10/2016;84610
17/10/2016;84480
18/10/2016;87450
19/10/2016;90590
20/10/2016;85820
21/10/2016;86050
22/10/2016;92710
23/10/2016;96990
24/10/2016;94030
25/10/2016;87060
26/10/2016;84240
27/10/2016;81790
28/10/2016;80560
29/10/2016;81930
30/10/2016;81550
31/10/2016;78560
01/11/2016;73550
02/11/2016;70510
03/11/2016;69350
04/11/2016;69720
05/11/2016;68560
06/11/2016;67530
07/11/2016;75090
08/11/2016;73720
09/11/2016;81270
10/11/2016;80020
11/11/2016;80370
12/11/2016;77160
13/11/2016;76480
14/11/2016;77130
15/11/2016;79860
16/11/2016;78830
17/11/2016;80830
18/11/2016;79120
19/11/2016;77650
20/11/2016;75930
21/11/2016;71810
22/11/2016;73560
23/11/2016;67330
24/11/2016;68550
25/11/2016;67480
26/11/2016;68830
27/11/2016;68260
28/11/2016;70340
29/11/2016;68690
30/11/2016;68050
01/12/2016;71550
02/12/2016;73000
03/12/2016;73640
04/12/2016;74030
05/12/2016;77710
06/12/2016;77400
07/12/2016;82100
08/12/2016;81920
09/12/2016;84370
10/12/2016;83600
11/12/2016;83970
12/12/2016;82940
13/12/2016;81810
14/12/2016;81800
15/12/2016;78880
16/12/2016;79860
17/12/2016;80710
18/12/2016;81290
19/12/2016;76840
20/12/2016;76620
21/12/2016;77070
22/12/2016;82080
23/12/2016;79200
24/12/2016;76730
25/12/2016;78630
26/12/2016;76570
27/12/2016;81870
28/12/2016;80470
29/12/2016;88670
30/12/2016;84800
31/12/2016;85110
01/01/2017;85140
02/01/2017;85760
03/01/2017;85080
04/01/2017;81590
05/01/2017;82450
06/01/2017;88300
07/01/2017;95590
08/01/2017;95090
09/01/2017;101360
10/01/2017;101480
11/01/2017;100940
12/01/2017;94550
13/01/2017;98790
14/01/2017;106800
15/01/2017;109110
16/01/2017;105600
17/01/2017;106820
18/01/2017;108850
19/01/2017;106780
20/01/2017;101910
21/01/2017;96890
22/01/2017;96370
23/01/2017;95620
24/01/2017;91630
25/01/2017;91590
26/01/2017;86950
27/01/2017;84130
28/01/2017;74000
29/01/2017;70170
30/01/2017;72750
31/01/2017;72650
01/02/2017;73240
02/02/2017;73580
03/02/2017;76010
04/02/2017;76530
05/02/2017;72920
06/02/2017;72490
07/02/2017;73460
08/02/2017;75320
09/02/2017;76700
10/02/2017;78290
11/02/2017;79410
12/02/2017;83650
13/02/2017;88130
14/02/2017;92650
15/02/2017;94610
16/02/2017;97950
17/02/2017;97830
18/02/2017;99120
19/02/2017;102330
20/02/2017;103200
21/02/2017;103810
22/02/2017;103240
23/02/2017;100800
24/02/2017;97590
25/02/2017;96870
26/02/2017;96220
27/02/2017;89500
28/02/2017;84780
01/03/2017;82520
02/03/2017;73600
03/03/2017;72380
04/03/2017;80830
05/03/2017;80190
06/03/2017;72570
07/03/2017;74140
08/03/2017;77570
09/03/2017;85490
10/03/2017;89860
11/03/2017;91450
12/03/2017;90270
13/03/2017;94680
14/03/2017;96230
15/03/2017;94620
16/03/2017;98870
17/03/2017;98200
18/03/2017;89540
19/03/2017;90090
20/03/2017;95840
21/03/2017;95290
22/03/2017;99780
23/03/2017;94090
24/03/2017;94220
25/03/2017;93420
26/03/2017;93710
27/03/2017;93270
28/03/2017;89600
29/03/2017;89310
30/03/2017;85880
31/03/2017;82030
01/04/2017;82010
02/04/2017;83930
03/04/2017;91350
04/04/2017;97220
05/04/2017;90120
06/04/2017;88360
07/04/2017;92240
08/04/2017;95630
09/04/2017;93500
10/04/2017;93060
11/04/2017;103620
12/04/2017;105640
13/04/2017;107680
14/04/2017;111460
15/04/2017;115290
16/04/2017;116770
17/04/2017;111490
18/04/2017;106910
19/04/2017;118350
20/04/2017;123440
21/04/2017;115160
22/04/2017;113170
23/04/2017;113640
24/04/2017;113470
25/04/2017;110920
26/04/2017;110720
27/04/2017;109100
28/04/2017;108930
29/04/2017;104610
30/04/2017;99910
01/05/2017;100190
02/05/2017;99010
03/05/2017;91290
04/05/2017;89140
05/05/2017;90410
06/05/2017;83610
07/05/2017;81560
08/05/2017;74250
09/05/2017;71910
10/05/2017;72680
11/05/2017;82810
12/05/2017;85830
13/05/2017;87120
14/05/2017;89700
15/05/2017;87140
16/05/2017;87040
17/05/2017;82200
18/05/2017;81890
19/05/2017;84400
20/05/2017;90660
21/05/2017;94220
22/05/2017;102150
23/05/2017;97210
24/05/2017;92050
25/05/2017;84170
26/05/2017;83720
27/05/2017;83850
28/05/2017;83800
29/05/2017;81170
30/05/2017;78540
31/05/2017;75210
01/06/2017;73940
02/06/2017;78360
03/06/2017;80280
04/06/2017;79440
05/06/2017;82760
06/06/2017;87760
07/06/2017;95610
08/06/2017;102620
09/06/2017;118690
10/06/2017;124800
11/06/2017;125790
12/06/2017;124690
13/06/2017;125080
14/06/2017;129120
15/06/2017;134520
16/06/2017;127420
17/06/2017;119240
18/06/2017;119690
19/06/2017;111340
20/06/2017;112160
21/06/2017;109660
22/06/2017;105790
23/06/2017;87820
24/06/2017;79380
25/06/2017;77510
26/06/2017;84340
27/06/2017;81830
28/06/2017;81820
29/06/2017;77640
30/06/2017;84070
01/07/2017;91940
02/07/2017;94080
03/07/2017;102640
04/07/2017;101860
05/07/2017;99130
06/07/2017;94920
07/07/2017;93450
08/07/2017;93710
09/07/2017;93660
