date;a_withdr
01/01/2014;1200
02/01/2014;1610
03/01/2014;1200
04/01/2014;2160
05/01/2014;420
06/01/2014;1170
07/01/2014;280
08/01/2014;1600
09/01/2014;1030
10/01/2014;1270
11/01/2014;1650
12/01/2014;1380
13/01/2014;900
14/01/2014;550
15/01/2014;400
16/01/2014;460
17/01/2014;1250
18/01/2014;200
19/01/2014;950
20/01/2014;1000
21/01/2014;50
22/01/2014;410
23/01/2014;200
24/01/2014;920
25/01/2014;680
26/01/2014;210
27/01/2014;230
28/01/2014;300
29/01/2014;240
30/01/2014;100
31/01/2014;1700
01/02/2014;1060
02/02/2014;620
03/02/2014;3370
04/02/2014;1330
05/02/2014;1720
06/02/2014;2360
07/02/2014;2020
08/02/2014;2000
09/02/2014;400
10/02/2014;870
11/02/2014;0
12/02/2014;0
13/02/2014;0
14/02/2014;0
15/02/2014;0
16/02/2014;0
17/02/2014;80
18/02/2014;370
19/02/2014;1920
20/02/2014;880
21/02/2014;450
22/02/2014;2050
23/02/2014;530
24/02/2014;260
25/02/2014;1000
26/02/2014;350
27/02/2014;650
28/02/2014;650
01/03/2014;3380
02/03/2014;250
03/03/2014;3350
04/03/2014;2420
05/03/2014;1200
06/03/2014;1130
07/03/2014;210
08/03/2014;2300
09/03/2014;580
10/03/2014;1770
11/03/2014;570
12/03/2014;630
13/03/2014;1080
14/03/2014;520
15/03/2014;950
16/03/2014;830
17/03/2014;380
18/03/2014;950
19/03/2014;1850
20/03/2014;970
21/03/2014;690
22/03/2014;1580
23/03/2014;780
24/03/2014;880
25/03/2014;1980
26/03/2014;200
27/03/2014;800
28/03/2014;870
29/03/2014;1120
30/03/2014;780
31/03/2014;1460
01/04/2014;3480
02/04/2014;2900
03/04/2014;3960
04/04/2014;1570
05/04/2014;2030
06/04/2014;1150
07/04/2014;300
08/04/2014;460
09/04/2014;2000
10/04/2014;220
11/04/2014;750
12/04/2014;2320
13/04/2014;380
14/04/2014;300
15/04/2014;1400
16/04/2014;740
17/04/2014;1060
18/04/2014;1000
19/04/2014;1350
20/04/2014;1620
21/04/2014;4900
22/04/2014;1450
23/04/2014;2900
24/04/2014;2590
25/04/2014;580
26/04/2014;2840
27/04/2014;3850
28/04/2014;780
29/04/2014;1470
30/04/2014;2130
01/05/2014;780
02/05/2014;2380
03/05/2014;3130
04/05/2014;1620
05/05/2014;1610
06/05/2014;730
07/05/2014;1150
08/05/2014;1050
09/05/2014;880
10/05/2014;480
11/05/2014;500
12/05/2014;1620
13/05/2014;680
14/05/2014;1330
15/05/2014;1240
16/05/2014;1930
17/05/2014;2480
18/05/2014;1000
19/05/2014;1130
20/05/2014;1200
21/05/2014;640
22/05/2014;1480
23/05/2014;1700
24/05/2014;950
25/05/2014;950
26/05/2014;370
27/05/2014;1800
28/05/2014;670
29/05/2014;1010
30/05/2014;700
