DATE;AMOUNT;COUNT
01/01/2014;7400;43
02/01/2014;10696;56
03/01/2014;9440;52
04/01/2014;13888;85
05/01/2014;9208;65
06/01/2014;15736;75
07/01/2014;9464;58
08/01/2014;7768;50
09/01/2014;7000;50
10/01/2014;9560;58
11/01/2014;13520;78
12/01/2014;7016;49
13/01/2014;5184;36
14/01/2014;8880;68
15/01/2014;9856;64
16/01/2014;8104;49
17/01/2014;8480;59
18/01/2014;14216;86
19/01/2014;10472;74
20/01/2014;11360;65
21/01/2014;8960;50
22/01/2014;11456;58
23/01/2014;8672;51
24/01/2014;9784;62
25/01/2014;13824;79
26/01/2014;12920;70
27/01/2014;8824;50
28/01/2014;9488;53
29/01/2014;7024;53
30/01/2014;10120;62
31/01/2014;9808;51
01/02/2014;18168;101
02/02/2014;12200;71
03/02/2014;13936;75
04/02/2014;14720;75
05/02/2014;11080;59
06/02/2014;7088;43
07/02/2014;8776;52
08/02/2014;11696;66
09/02/2014;7832;54
10/02/2014;9848;49
11/02/2014;4568;30
12/02/2014;9152;59
13/02/2014;6856;43
14/02/2014;10768;62
15/02/2014;6648;38
16/02/2014;7352;53
17/02/2014;12232;71
18/02/2014;10160;56
19/02/2014;14544;79
20/02/2014;13832;79
21/02/2014;11096;67
22/02/2014;10328;69
23/02/2014;7120;46
24/02/2014;8200;59
25/02/2014;12200;72
26/02/2014;12584;61
27/02/2014;11648;77
28/02/2014;9888;59
01/03/2014;12224;69
02/03/2014;13352;85
03/03/2014;10720;61
04/03/2014;12440;53
05/03/2014;10424;64
06/03/2014;13152;64
07/03/2014;9920;55
08/03/2014;14384;84
09/03/2014;4640;31
10/03/2014;7832;47
11/03/2014;9400;56
12/03/2014;9304;59
13/03/2014;6456;37
14/03/2014;6496;47
15/03/2014;15024;82
16/03/2014;8336;58
17/03/2014;7144;40
18/03/2014;12320;64
19/03/2014;16544;77
20/03/2014;13200;73
21/03/2014;10720;58
22/03/2014;11296;68
23/03/2014;7856;52
24/03/2014;6696;52
25/03/2014;10528;63
26/03/2014;7904;43
27/03/2014;8304;53
28/03/2014;10728;61
29/03/2014;9416;61
30/03/2014;12080;65
31/03/2014;13432;68
01/04/2014;13784;65
02/04/2014;11192;72
03/04/2014;8712;46
04/04/2014;12200;60
05/04/2014;13840;82
06/04/2014;10480;66
07/04/2014;9088;57
08/04/2014;9440;59
09/04/2014;7680;60
10/04/2014;13200;83
11/04/2014;6592;47
12/04/2014;10944;71
13/04/2014;10216;67
14/04/2014;8616;52
15/04/2014;6096;44
16/04/2014;9376;55
17/04/2014;12304;62
18/04/2014;10912;62
19/04/2014;16064;83
20/04/2014;0;0
21/04/2014;4608;19
22/04/2014;9544;62
23/04/2014;9696;57
24/04/2014;11416;60
25/04/2014;6160;37
26/04/2014;5584;28
27/04/2014;10360;71
28/04/2014;10120;56
29/04/2014;11272;65
30/04/2014;11640;74
01/05/2014;14936;86
02/05/2014;9184;49
03/05/2014;15240;93
04/05/2014;12664;73
05/05/2014;11856;62
06/05/2014;10968;59
07/05/2014;8096;49
08/05/2014;7984;47
09/05/2014;4208;31
10/05/2014;13352;84
11/05/2014;13048;91
12/05/2014;9576;61
13/05/2014;7920;46
14/05/2014;9688;52
15/05/2014;9648;56
16/05/2014;7632;50
17/05/2014;13472;80
18/05/2014;10456;68
19/05/2014;10640;55
20/05/2014;13376;66
21/05/2014;13464;68
22/05/2014;7592;52
23/05/2014;12320;64
24/05/2014;13328;83
25/05/2014;9288;65
26/05/2014;13544;65
27/05/2014;10728;69
