date;a_withdr
27/05/2016;63450
28/05/2016;64140
29/05/2016;67850
30/05/2016;67770
31/05/2016;64870
01/06/2016;61700
02/06/2016;58560
03/06/2016;57510
04/06/2016;59060
05/06/2016;55090
06/06/2016;62850
07/06/2016;68910
08/06/2016;72370
09/06/2016;75130
10/06/2016;80800
11/06/2016;88780
12/06/2016;90940
13/06/2016;94170
14/06/2016;101870
15/06/2016;111970
16/06/2016;126250
17/06/2016;138000
18/06/2016;149960
19/06/2016;161560
20/06/2016;165370
21/06/2016;170120
22/06/2016;166980
23/06/2016;160210
24/06/2016;150520
25/06/2016;139450
26/06/2016;133580
27/06/2016;125960
28/06/2016;114430
29/06/2016;107690
30/06/2016;101840
01/07/2016;93930
02/07/2016;84420
03/07/2016;75590
04/07/2016;72880
05/07/2016;65340
06/07/2016;77230
07/07/2016;89480
08/07/2016;99640
09/07/2016;108000
10/07/2016;121270
11/07/2016;131170
12/07/2016;144230
13/07/2016;146110
14/07/2016;147020
15/07/2016;142850
16/07/2016;134070
17/07/2016;127620
18/07/2016;133060
19/07/2016;141440
20/07/2016;140950
21/07/2016;143610
22/07/2016;143050
23/07/2016;145460
24/07/2016;136570
25/07/2016;131500
26/07/2016;127900
27/07/2016;127600
28/07/2016;126780
29/07/2016;129810
30/07/2016;136950
31/07/2016;142490
01/08/2016;128560
02/08/2016;122580
03/08/2016;116920
04/08/2016;112210
05/08/2016;111820
06/08/2016;112280
07/08/2016;115890
08/08/2016;128330
09/08/2016;131340
10/08/2016;130230
11/08/2016;132030
12/08/2016;135160
13/08/2016;142500
14/08/2016;148100
15/08/2016;156150
16/08/2016;164480
17/08/2016;178070
18/08/2016;188780
19/08/2016;190540
20/08/2016;194610
21/08/2016;186650
22/08/2016;179610
23/08/2016;177700
24/08/2016;176130
25/08/2016;172950
26/08/2016;169980
27/08/2016;169320
28/08/2016;158180
29/08/2016;148960
30/08/2016;131100
31/08/2016;112540
01/09/2016;96840
02/09/2016;92740
03/09/2016;84620
04/09/2016;91800
05/09/2016;92640
06/09/2016;90270
07/09/2016;97090
08/09/2016;97480
09/09/2016;94840
10/09/2016;92140
11/09/2016;98910
12/09/2016;105120
13/09/2016;113080
14/09/2016;128160
15/09/2016;144680
16/09/2016;161860
17/09/2016;177510
18/09/2016;186940
19/09/2016;196830
20/09/2016;202230
21/09/2016;200270
22/09/2016;199550
23/09/2016;200530
24/09/2016;203440
25/09/2016;205370
26/09/2016;213800
27/09/2016;214200
28/09/2016;207770
29/09/2016;190310
30/09/2016;173570
01/10/2016;159830
02/10/2016;151070
03/10/2016;139950
04/10/2016;139960
05/10/2016;137170
06/10/2016;142860
07/10/2016;144010
08/10/2016;141580
09/10/2016;145190
10/10/2016;143030
11/10/2016;141450
12/10/2016;143410
13/10/2016;150900
14/10/2016;156540
15/10/2016;162620
16/10/2016;159300
17/10/2016;174950
18/10/2016;193370
19/10/2016;210420
20/10/2016;204950
21/10/2016;206380
22/10/2016;197380
23/10/2016;185070
24/10/2016;175910
25/10/2016;179700
26/10/2016;179240
27/10/2016;175910
28/10/2016;174230
29/10/2016;167350
30/10/2016;173960
31/10/2016;157350
01/11/2016;134810
02/11/2016;123530
03/11/2016;122820
04/11/2016;127650
05/11/2016;138420
06/11/2016;150240
07/11/2016;159360
08/11/2016;162980
09/11/2016;158600
10/11/2016;162440
11/11/2016;166750
12/11/2016;168170
13/11/2016;165880
14/11/2016;172150
15/11/2016;171580
16/11/2016;182680
17/11/2016;192430
18/11/2016;192840
19/11/2016;195260
20/11/2016;187650
21/11/2016;185350
22/11/2016;183370
23/11/2016;188220
24/11/2016;183520
25/11/2016;182340
26/11/2016;179200
27/11/2016;174060
28/11/2016;168120
29/11/2016;165940
30/11/2016;149860
01/12/2016;139670
02/12/2016;132120
03/12/2016;120640
04/12/2016;119320
05/12/2016;120830
06/12/2016;123410
07/12/2016;122810
08/12/2016;124580
09/12/2016;124680
10/12/2016;136070
11/12/2016;139950
12/12/2016;149070
13/12/2016;158460
14/12/2016;171840
